slug;name;level;soul_shard;gold;time_days;time_seconds;effect_value;effect_name;oracle;req1;req2;req3;req4;inf
secretf_01;Урон против I тира в Крепостях;1;10500;570000;342;0;1,00%;Урон против I тира в Крепостях;31;;;;;160000
secretf_01;Урон против I тира в Крепостях;2;15500;710000;508;0;2,00%;Урон против I тира в Крепостях;31;;;;;355000
secretf_01;Урон против I тира в Крепостях;3;23000;850000;754;0;3,00%;Урон против I тира в Крепостях;32;;;;;800000
secretf_01;Урон против I тира в Крепостях;4;34000;990000;1119;0;4,00%;Урон против I тира в Крепостях;32;;;;;1850000
secretf_01;Урон против I тира в Крепостях;5;50000;1150000;1662;0;5,00%;Урон против I тира в Крепостях;33;;;;;4100000
secretf_01;Урон против I тира в Крепостях;6;74500;1300000;2468;0;6,00%;Урон против I тира в Крепостях;33;;;;;9200000
secretf_01;Урон против I тира в Крепостях;7;115000;1450000;3665;0;7,00%;Урон против I тира в Крепостях;34;;;;;21000000
secretf_01;Урон против I тира в Крепостях;8;165000;1700000;5442;0;8,00%;Урон против I тира в Крепостях;34;;;;;47000000
secretf_01;Урон против I тира в Крепостях;9;245000;2150000;8080;0;9,00%;Урон против I тира в Крепостях;35;;;;;110000000
secretf_01;Урон против I тира в Крепостях;10;365000;3100000;11999;0;10,00%;Урон против I тира в Крепостях;35;;;;;240000000
secretf_02;Урон против II тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против II тира в Крепостях;31;;;;;160000
secretf_02;Урон против II тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против II тира в Крепостях;31;;;;;355000
secretf_02;Урон против II тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против II тира в Крепостях;32;;;;;800000
secretf_02;Урон против II тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против II тира в Крепостях;32;;;;;1850000
secretf_02;Урон против II тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против II тира в Крепостях;33;;;;;4100000
secretf_02;Урон против II тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против II тира в Крепостях;33;;;;;9200000
secretf_02;Урон против II тира в Крепостях;7;115000;1450000;3665;0;4,00%;Урон против II тира в Крепостях;34;;;;;21000000
secretf_02;Урон против II тира в Крепостях;8;165000;1700000;5442;0;5,00%;Урон против II тира в Крепостях;34;;;;;47000000
secretf_02;Урон против II тира в Крепостях;9;245000;2150000;8080;0;6,50%;Урон против II тира в Крепостях;35;;;;;110000000
secretf_02;Урон против II тира в Крепостях;10;365000;3100000;11999;0;8,00%;Урон против II тира в Крепостях;35;;;;;240000000
secretf_03;Урон против III тира в Крепостях;1;10500;570000;342;0;0,50%;Урон против III тира в Крепостях;31;;;;;160000
secretf_03;Урон против III тира в Крепостях;2;15500;710000;508;0;1,00%;Урон против III тира в Крепостях;31;;;;;355000
secretf_03;Урон против III тира в Крепостях;3;23000;850000;754;0;1,50%;Урон против III тира в Крепостях;32;;;;;800000
secretf_03;Урон против III тира в Крепостях;4;34000;990000;1119;0;2,00%;Урон против III тира в Крепостях;32;;;;;1850000
secretf_03;Урон против III тира в Крепостях;5;50000;1150000;1662;0;2,50%;Урон против III тира в Крепостях;33;;;;;4100000
secretf_03;Урон против III тира в Крепостях;6;74500;1300000;2468;0;3,00%;Урон против III тира в Крепостях;33;;;;;9200000
secretf_03;Урон против III тира в Крепостях;7;115000;1450000;3665;0;4,00%;Урон против III тира в Крепостях;34;;;;;21000000
secretf_03;Урон против III тира в Крепостях;8;165000;1700000;5442;0;5,00%;Урон против III тира в Крепостях;34;;;;;47000000
secretf_03;Урон против III тира в Крепостях;9;245000;2150000;8080;0;6,50%;Урон против III тира в Крепостях;35;;;;;110000000
secretf_03;Урон против III тира в Крепостях;10;365000;3100000;11999;0;8,00%;Урон против III тира в Крепостях;35;;;;;240000000
secretf_04;Стремительность I;1;5700;370000;312;0;1,00%;Стремительность I;31;Урон против I тира в Крепостях 1;Урон против II тира в Крепостях 1;Урон против III тира в Крепостях 1;;130000
