slug;name;level;soul_shard;gold;time_days;time_seconds;effect_value;effect_name;oracle;req1;req2;req3;req4;inf
secreto_01;Урон в нападении против I тира;1;10500;570000;342;0;1,00%;Урон в нападении против I тира;31;;;;;160000
secreto_01;Урон в нападении против I тира;2;15500;710000;508;0;2,00%;Урон в нападении против I тира;31;;;;;355000
secreto_01;Урон в нападении против I тира;3;23000;850000;754;0;3,00%;Урон в нападении против I тира;32;;;;;800000
secreto_01;Урон в нападении против I тира;4;34000;990000;1119;0;4,00%;Урон в нападении против I тира;32;;;;;1850000
secreto_01;Урон в нападении против I тира;5;50000;1150000;1662;0;5,00%;Урон в нападении против I тира;33;;;;;4100000
secreto_01;Урон в нападении против I тира;6;74500;1300000;2468;0;6,00%;Урон в нападении против I тира;33;;;;;9200000
secreto_01;Урон в нападении против I тира;7;115000;1450000;3665;0;7,00%;Урон в нападении против I тира;34;;;;;21000000
secreto_01;Урон в нападении против I тира;8;165000;1700000;5442;0;8,00%;Урон в нападении против I тира;34;;;;;47000000
secreto_01;Урон в нападении против I тира;9;245000;2150000;8080;0;9,00%;Урон в нападении против I тира;35;;;;;110000000
secreto_01;Урон в нападении против I тира;10;365000;3100000;11999;0;10,00%;Урон в нападении против I тира;35;;;;;240000000
secreto_02;Урон в нападении против II тира;1;10500;570000;342;0;0,50%;Урон в нападении против II тира;31;;;;;160000
secreto_02;Урон в нападении против II тира;2;15500;710000;508;0;1,00%;Урон в нападении против II тира;31;;;;;355000
secreto_02;Урон в нападении против II тира;3;23000;850000;754;0;1,50%;Урон в нападении против II тира;32;;;;;800000
secreto_02;Урон в нападении против II тира;4;34000;990000;1119;0;2,00%;Урон в нападении против II тира;32;;;;;1850000
secreto_02;Урон в нападении против II тира;5;50000;1150000;1662;0;2,50%;Урон в нападении против II тира;33;;;;;4100000
secreto_02;Урон в нападении против II тира;6;74500;1300000;2468;0;3,00%;Урон в нападении против II тира;33;;;;;9200000
secreto_02;Урон в нападении против II тира;7;115000;1450000;3665;0;4,00%;Урон в нападении против II тира;34;;;;;21000000
secreto_02;Урон в нападении против II тира;8;165000;1700000;5442;0;5,00%;Урон в нападении против II тира;34;;;;;47000000
secreto_02;Урон в нападении против II тира;9;245000;2150000;8080;0;6,50%;Урон в нападении против II тира;35;;;;;110000000
secreto_02;Урон в нападении против II тира;10;365000;3100000;11999;0;8,00%;Урон в нападении против II тира;35;;;;;240000000
secreto_03;Урон в нападении против III тира;1;10500;570000;342;0;0,50%;Урон в нападении против III тира;31;;;;;160000
secreto_03;Урон в нападении против III тира;2;15500;710000;508;0;1,00%;Урон в нападении против III тира;31;;;;;355000
secreto_03;Урон в нападении против III тира;3;23000;850000;754;0;1,50%;Урон в нападении против III тира;32;;;;;800000
secreto_03;Урон в нападении против III тира;4;34000;990000;1119;0;2,00%;Урон в нападении против III тира;32;;;;;1850000
secreto_03;Урон в нападении против III тира;5;50000;1150000;1662;0;2,50%;Урон в нападении против III тира;33;;;;;4100000
secreto_03;Урон в нападении против III тира;6;74500;1300000;2468;0;3,00%;Урон в нападении против III тира;33;;;;;9200000
secreto_03;Урон в нападении против III тира;7;115000;1450000;3665;0;4,00%;Урон в нападении против III тира;34;;;;;21000000
secreto_03;Урон в нападении против III тира;8;165000;1700000;5442;0;5,00%;Урон в нападении против III тира;34;;;;;47000000
